store_id,town,area,self_service,cart,basket,month,quantity,sales_value,store_type
1,Pune,220,1,0,1,10,14,3063,MT
2,Mahbubnagar,1000,1,0,1,10,15906,761501,MT
3,Hyderabad,500,0,0,0,7,7729,220591.56,TT
4,BANGALORE,600,0,0,0,7,11106.10398,4622695.858,TT
5,Vijayawada,475,0,0,0,12,9893.793999,2297273.704,TT
6,Goa,1500,1,0,1,4,11767,367792.27,MT
7,Goa,1000,1,1,0,1,18552,726808.2,MT
8,Chandigarh,1000,1,0,1,1,12810,1871211.11,MT
9,Raipur,2400,0,0,0,1,16447.483,841151.8402,TT
10,Greater,500,0,0,0,10,3737,116517.46,TT
11,Baharampur,200,1,1,1,10,1134.85,79460.09,MT
12,Hyderabad,400,0,0,0,7,1652.244995,1356246.059,TT
13,Chandigarh,1200,0,0,0,7,11812.657,819743.3099,TT
14,Goa,800,1,0,1,7,41123,1394769.7,MT
15,Siolim,500,0,0,0,12,14793,557515,TT
16,Greater,720,0,0,0,4,25439.297,1933085.2,TT
17,Chennai,500,1,1,1,1,5447.764001,153568.808,MT
18,Vijayawada,475,0,0,0,10,8267.335,2131953,TT
19,Peddapuram,400,0,0,0,4,1785,641389,TT
20,BANGALORE,800,1,0,1,4,25650.624,694096.01,MT
21,GVMC,900,1,1,0,10,21010.661,591147.082,MT
22,Pune,2000,0,0,0,7,13525.43496,6120706.47,TT
23,Greater,300,1,1,1,7,9766.065001,1818563.109,MT
24,Renigunta,200,1,0,1,12,9753,342739,MT
25,Rae,1000,1,0,1,12,40032.196,1843408.856,MT
26,Goa,150,0,0,0,4,54462,1231775,TT
27,Jammu,2500,1,1,1,4,16079.296,1043264.65,MT
28,Greater,180,1,1,1,4,322,68960,MT
29,Chengalpattu,200,1,1,1,4,1715,266449,MT
30,Punganur,600,0,0,0,1,7573,357684.4399,TT
31,Ganjam,480,0,0,0,1,21714,1222063.47,TT
32,Tadepalligudem,750,0,0,0,7,24918,886963.1903,TT
33,Ludhiana,500,0,0,0,7,6644,624628,TT
34,BANGALORE,700,0,0,0,12,27850.5,2099535.661,TT
35,Greater,460,0,0,0,12,7872.766003,459072.8482,TT
36,Ujjain,800,1,0,1,12,9209,306778.7398,MT
37,Jhargram,400,0,0,0,12,153.5,6204.419998,TT
38,Gurgaon,500,1,1,1,4,4732,163482,MT
39,Hyderabad,1000,1,0,1,4,15381.94,525716.23,MT
40,Siliguri,200,0,0,0,1,14756,697103.6799,TT
41,Kalimpong,2500,0,0,0,1,5814,546414.36,TT
42,Peddapuram,500,1,1,0,10,6294,2310224,MT
43,Hyderabad,1000,1,1,1,7,12021.9,537586.405,MT
44,Hyderabad,600,0,0,0,10,71.70499992,15320.09998,TT
45,Delhi,1000,1,1,1,12,10522.334,870508.8,MT
46,Vijayawada,200,1,1,1,12,21188,697731.4799,MT
